id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958,"Bright, Modern Garden Unit - 1BR/1B",1169,Holly,,Western Addition,37.76931038,-122.4338563,Entire home/apt,170,1,156,8/19/2018,1.4,1,119
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74511233,-122.4210179,Entire home/apt,235,30,112,8/6/2017,0.98,1,365
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.7666896,-122.4525046,Private room,65,32,17,11/21/2016,0.15,9,365
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76487219,-122.451828,Private room,65,32,7,8/12/2017,0.14,9,361
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77524859,-122.4363737,Entire home/apt,675,7,27,8/11/2018,0.25,2,82
8567,Lovely 2BR flat Great Location,25601,Sandy,,Western Addition,37.78470745,-122.4455543,Entire home/apt,255,2,31,9/2/2018,0.28,1,17
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.7591889,-122.4223669,Private room,139,1,605,8/31/2018,5.46,2,130
9225,Artful Potrero Separate Floor with Garden,29674,Gae,,Potrero Hill,37.76258885,-122.4054306,Private room,135,1,419,8/30/2018,3.88,1,318
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75874295,-122.413272,Entire home/apt,265,3,296,8/19/2018,2.7,1,295
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79142746,-122.4154357,Entire home/apt,120,30,18,5/17/2015,0.22,1,342
10819,Spacious 3BED/2BATH Apartment in Marina District,38836,Bernat,,Marina,37.80060136,-122.4250454,Entire home/apt,218,30,22,12/14/2015,0.33,42,251
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,,Haight Ashbury,37.77187372,-122.4385911,Entire home/apt,177,30,35,12/14/2015,0.32,42,282
10824,Victorian House in Hayes Valley,38836,Bernat,,Western Addition,37.77355002,-122.4243619,Entire home/apt,194,30,14,8/25/2018,0.18,42,258
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.7857389,-122.4079771,Entire home/apt,139,30,18,8/17/2018,0.27,42,338
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.77018946,-122.4459422,Private room,85,32,5,10/16/2016,0.06,9,338
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76894262,-122.4477822,Private room,85,32,5,10/18/2015,0.08,9,365
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76074548,-122.4303241,Private room,79,3,370,9/4/2018,3.51,1,14
12584,"3 levels, Views, 2BR/1BA",49383,Tom,,Inner Sunset,37.76203102,-122.4545495,Entire home/apt,146,30,14,11/18/2017,0.19,2,315
14125,Gallery Residence,55475,Olivia,,Mission,37.7549067,-122.422455,Entire home/apt,215,3,94,8/10/2018,0.89,1,306
16551,Sublet: Centrally-Located Studio Apartment in SF,24861,Steven,,Downtown/Civic Center,37.78468948,-122.4145618,Entire home/apt,65,180,7,4/23/2012,0.08,1,191
17132,Luxury 2BR suite with waterview,43185,Hijin + David,,South of Market,37.78646668,-122.390717,Entire home/apt,450,35,14,9/29/2016,0.15,1,341
18231,Loft-like Apt./Garden (monthly only available),70224,Arlene & Leon,,Noe Valley,37.74888371,-122.4298237,Entire home/apt,107,30,59,5/1/2018,0.59,1,51
18904,Tranquil Lower Haight w/pvt bath,72464,Patrick,,Western Addition,37.77252152,-122.4321565,Private room,110,2,334,8/30/2018,4.06,2,49
19040,Mission Garden Retreat,72731,David,,Mission,37.76348967,-122.415174,Entire home/apt,198,5,225,7/22/2018,2.17,1,0
